Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1400000 through 1409999



1400000 --> Friday, 04 - 14
1400402 --> Friday, 04 - 12

1400403 --> Friday, 04 - 04

1400404 --> Friday, 04 - 23

1400405 --> Friday, 04 - 08

1400406 --> Friday, 03 - 31

1400407 --> Friday, 04 - 20

1400408 --> Friday, 04 - 04

1400409 --> Friday, 03 - 27

1400410 --> Friday, 04 - 16

1400411 --> Friday, 04 - 01

1400412 --> Friday, 03 - 23

1400413 --> Friday, 04 - 12

1400414 --> Friday, 03 - 28

1400415 --> Friday, 04 - 17

1400416 --> Friday, 04 - 08

1400417 --> Friday, 03 - 24

1400418 --> Friday, 04 - 13

1400419 --> Friday, 04 - 05

1400420 --> Friday, 03 - 27

1400421 --> Friday, 04 - 09

1400422 --> Friday, 04 - 01

1400423 --> Friday, 04 - 21

1400424 --> Friday, 04 - 12

1400425 --> Friday, 03 - 28

1400426 --> Friday, 04 - 17

1400427 --> Friday, 04 - 09

1400428 --> Friday, 03 - 24

1400429 --> Friday, 04 - 13

1400430 --> Friday, 04 - 05

1400431 --> Friday, 03 - 21

1400432 --> Friday, 04 - 09

1400433 --> Friday, 04 - 01

1400434 --> Friday, 04 - 21

1400435 --> Friday, 04 - 06

1400436 --> Friday, 03 - 28

1400437 --> Friday, 04 - 17

1400438 --> Friday, 04 - 02

1400439 --> Friday, 03 - 25

1400440 --> Friday, 04 - 13

1400441 --> Friday, 03 - 29

1400442 --> Friday, 04 - 18

1400443 --> Friday, 04 - 10

1400444 --> Friday, 04 - 01

1400445 --> Friday, 04 - 14

1400446 --> Friday, 04 - 06

1400447 --> Friday, 03 - 29

1400448 --> Friday, 04 - 17

1400449 --> Friday, 04 - 02

1400450 --> Friday, 03 - 25

1400451 --> Friday, 04 - 14

1400452 --> Friday, 03 - 29

1400453 --> Friday, 04 - 18

1400454 --> Friday, 04 - 10

1400455 --> Friday, 03 - 26

1400456 --> Friday, 04 - 14

1400457 --> Friday, 04 - 06

1400458 --> Friday, 03 - 22

1400459 --> Friday, 04 - 11

1400460 --> Friday, 04 - 02

1400461 --> Friday, 04 - 22

1400462 --> Friday, 04 - 07

1400463 --> Friday, 03 - 30

1400464 --> Friday, 04 - 18

1400465 --> Friday, 04 - 03

1400466 --> Friday, 03 - 26

1400467 --> Friday, 04 - 15

1400468 --> Friday, 04 - 06

1400469 --> Friday, 03 - 22

1400470 --> Friday, 04 - 11

1400471 --> Friday, 03 - 27

1400472 --> Friday, 04 - 15

1400473 --> Friday, 04 - 07

1400474 --> Friday, 03 - 30

1400475 --> Friday, 04 - 12

1400476 --> Friday, 04 - 03

1400477 --> Friday, 03 - 26

1400478 --> Friday, 04 - 15

1400479 --> Friday, 03 - 31

1400480 --> Friday, 04 - 19

1400481 --> Friday, 04 - 11

1400482 --> Friday, 03 - 27

1400483 --> Friday, 04 - 16

1400484 --> Friday, 04 - 07

1400485 --> Friday, 03 - 23

1400486 --> Friday, 04 - 12

1400487 --> Friday, 04 - 04

1400488 --> Friday, 03 - 26

1400489 --> Friday, 04 - 08

1400490 --> Friday, 03 - 31

1400491 --> Friday, 04 - 20

1400492 --> Friday, 04 - 04

1400493 --> Friday, 03 - 27

1400494 --> Friday, 04 - 16

1400495 --> Friday, 04 - 01

1400496 --> Friday, 03 - 23

1400497 --> Friday, 04 - 12

1400498 --> Friday, 04 - 04

1400499 --> Friday, 04 - 17

1400500 --> Friday, 04 - 09

1400501 --> Friday, 04 - 01

1400502 --> Friday, 04 - 14

1400503 --> Friday, 04 - 06

1400504 --> Friday, 03 - 28

1400505 --> Friday, 04 - 17

1400506 --> Friday, 04 - 02

1400507 --> Friday, 03 - 25

1400508 --> Friday, 04 - 13

1400509 --> Friday, 03 - 29

1400510 --> Friday, 04 - 18

1400511 --> Friday, 04 - 10

1400512 --> Friday, 03 - 25

1400513 --> Friday, 04 - 14

1400514 --> Friday, 04 - 06

1400515 --> Friday, 03 - 22

1400516 --> Friday, 04 - 10

1400517 --> Friday, 04 - 02

