Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050247 --> Thursday, 05 - 13

2050248 --> Thursday, 06 - 01

2050249 --> Thursday, 05 - 17

2050250 --> Thursday, 05 - 09

2050251 --> Thursday, 05 - 29

2050252 --> Thursday, 05 - 13

2050253 --> Thursday, 05 - 05

2050254 --> Thursday, 05 - 25

2050255 --> Thursday, 05 - 10

2050256 --> Thursday, 05 - 29

2050257 --> Thursday, 05 - 21

2050258 --> Thursday, 05 - 06

2050259 --> Thursday, 05 - 26

2050260 --> Thursday, 05 - 17

2050261 --> Thursday, 05 - 02

2050262 --> Thursday, 05 - 22

2050263 --> Thursday, 05 - 14

2050264 --> Thursday, 06 - 02

2050265 --> Thursday, 05 - 18

2050266 --> Thursday, 05 - 10

2050267 --> Thursday, 05 - 30

2050268 --> Thursday, 05 - 21

2050269 --> Thursday, 05 - 06

2050270 --> Thursday, 05 - 26

2050271 --> Thursday, 05 - 11

2050272 --> Thursday, 05 - 02

2050273 --> Thursday, 05 - 22

2050274 --> Thursday, 05 - 14

2050275 --> Thursday, 05 - 27

2050276 --> Thursday, 05 - 18

2050277 --> Thursday, 05 - 10

2050278 --> Thursday, 05 - 30

2050279 --> Thursday, 05 - 15

2050280 --> Thursday, 05 - 06

2050281 --> Thursday, 05 - 26

2050282 --> Thursday, 05 - 11

2050283 --> Thursday, 05 - 31

2050284 --> Thursday, 05 - 22

2050285 --> Thursday, 05 - 07

2050286 --> Thursday, 05 - 27

2050287 --> Thursday, 05 - 19

2050288 --> Thursday, 05 - 10

2050289 --> Thursday, 05 - 23

2050290 --> Thursday, 05 - 15

2050291 --> Thursday, 04 - 30

2050292 --> Thursday, 05 - 19

2050293 --> Thursday, 05 - 11

2050294 --> Thursday, 05 - 31

2050295 --> Thursday, 05 - 16

2050296 --> Thursday, 05 - 07

2050297 --> Thursday, 05 - 27

2050298 --> Thursday, 05 - 19

2050299 --> Thursday, 05 - 04

2050300 --> Thursday, 05 - 24

2050301 --> Thursday, 05 - 16

2050302 --> Thursday, 05 - 01

2050303 --> Thursday, 05 - 21

2050304 --> Thursday, 05 - 12

2050305 --> Thursday, 06 - 01

2050306 --> Thursday, 05 - 17

2050307 --> Thursday, 05 - 09

2050308 --> Thursday, 05 - 28

2050309 --> Thursday, 05 - 13

2050310 --> Thursday, 05 - 05

2050311 --> Thursday, 05 - 25

2050312 --> Thursday, 05 - 09

2050313 --> Thursday, 05 - 29

2050314 --> Thursday, 05 - 21

